# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.17.0
#@/tick	632
#@/user_id	9d0922bb-2196-4703-8ad7-5b1d1981f005
a 	啊	c=3 d=1.31215 t=632
zhen de 	真的	c=1 d=0.970446 t=632
zhi chi 	支持	c=1 d=0.970446 t=632
zhi ding 	置顶	c=0 d=0.0865022 t=632
zhi ding le 	置顶了	c=1 d=0.869358 t=632
zhi hou 	之后	c=3 d=1.68253 t=632
zhi jie 	直接	c=1 d=0.431711 t=632
zhi lei 	之类	c=1 d=0.985112 t=632
zhi lian 	直连	c=1 d=0.491644 t=632
zhi qian 	之前	c=6 d=2.15761 t=632
zhi xing 	执行	c=1 d=0.802519 t=632
zhi yao 	只要	c=1 d=0.831104 t=632
zhi you 	只有	c=1 d=0.831104 t=632
zhong 	中	c=2 d=1.90284 t=632
zhong jian 	中间	c=1 d=0.377192 t=632
zhong wen 	中文	c=1 d=0.400517 t=632
zhong zi 	种子	c=1 d=0.565525 t=632
zhu chu 	住处	c=1 d=0.640824 t=632
zhu shi 	注释	c=1 d=0.794534 t=632
zhuang 	装	c=1 d=0.955997 t=632
zhuang feng mai sha 	装疯卖傻	c=1 d=0.574072 t=632
zhuang zi 	庄子	c=1 d=0.65377 t=632
zhuo mian 	桌面	c=2 d=1.68316 t=632
zi dong 	自动	c=2 d=0.986448 t=632
zi liao 	资料	c=1 d=0.995012 t=632
zi mu 	字母	c=1 d=0.631284 t=632
zi xi 	仔细	c=2 d=1.26358 t=632
zi yuan 	资源	c=1 d=0.546074 t=632
zi zi xi xi 	仔仔细细	c=1 d=0.918512 t=632
zong jie 	总结	c=1 d=0.891366 t=632
zou 	走	c=1 d=0.489192 t=632
zui ding 	最顶	c=1 d=0.937067 t=632
zui jin 	最近	c=2 d=1.67029 t=632
zui xin 	最新	c=1 d=0.774916 t=632
一跨 	yi kua	c=0 d=0 t=632
下顾南西 	xia gu nan xi	c=0 d=0 t=632
不哟 	bu yo	c=0 d=0 t=632
不外界 	bu wai jie	c=0 d=0 t=632
不安群 	bu an qun	c=0 d=0 t=632
不帮 	bu bang	c=0 d=0 t=632
不指数 	bu zhi shu	c=0 d=0 t=632
不旁 	bu pang	c=0 d=0 t=632
专用用户 	zhuan yong yong hu	c=0 d=0 t=632
个呕呕见 	ge ou ou jian	c=0 d=0 t=632
为提交 	wei ti jiao	c=0 d=0 t=632
主管你 	zhu guan ni	c=0 d=0 t=632
么次 	me ci	c=0 d=0 t=632
之后哦 	zhi hou o	c=0 d=0 t=632
之类你 	zhi lei ni	c=0 d=0 t=632
也价格 	ye jia ge	c=0 d=0 t=632
也加到 	ye jia dao	c=0 d=0 t=632
买当 	mai dang	c=0 d=0 t=632
了里 	le li	c=0 d=0 t=632
从远端 	cong yuan duan	c=0 d=0 t=632
仙子按 	xian zi an	c=0 d=0 t=632
以谁 	yi shei	c=0 d=0 t=632
但概念 	dan gai nian	c=0 d=0 t=632
低丧父 	di sang fu	c=0 d=0 t=632
你为啥 	ni wei sha	c=0 d=0 t=632
你书 	ni shu	c=0 d=0 t=632
你仔细 	ni zi xi	c=0 d=0 t=632
你改完 	ni gai wan	c=0 d=0 t=632
你根据 	ni gen ju	c=0 d=0 t=632
你没用 	ni mei yong	c=0 d=0 t=632
你看下 	ni kan xia	c=0 d=0 t=632
你研究 	ni yan jiu	c=0 d=0 t=632
你西恩 	ni xi en	c=0 d=0 t=632
你西欧是 	ni xi ou shi	c=0 d=0 t=632
你重新 	ni chong xin	c=0 d=0 t=632
你非 	ni fei	c=0 d=0 t=632
你靠 	ni kao	c=0 d=0 t=632
侧绿 	ce lv	c=0 d=0 t=632
侵入是 	qin ru shi	c=0 d=0 t=632
先看下 	xian kan xia	c=0 d=0 t=632
全显示 	quan xian shi	c=0 d=0 t=632
公司哦 	gong si o	c=0 d=0 t=632
内哦能够 	nei o neng gou	c=0 d=0 t=632
凑够和 	cou gou he	c=0 d=0 t=632
凡尘米 	fan chen mi	c=0 d=0 t=632
加上能够 	jia shang neng gou	c=0 d=0 t=632
勤快光 	qin kuai guang	c=0 d=0 t=632
卡尼西安 	ka ni xi an	c=0 d=0 t=632
去搜搜哦 	qu sou sou o	c=0 d=0 t=632
参数你 	can shu ni	c=0 d=0 t=632
参通过 	cen tong guo	c=0 d=0 t=632
及忒 	ji tei	c=0 d=0 t=632
反正功能 	fan zheng gong neng	c=0 d=0 t=632
发连 	fa lian	c=0 d=0 t=632
同级目录 	tong ji mu lu	c=0 d=0 t=632
启动太 	qi dong tai	c=0 d=0 t=632
周那么 	zhou na me	c=0 d=0 t=632
哦嗯 	o ng	c=0 d=0 t=632
哦都市 	o du shi	c=0 d=0 t=632
啥跑止呕 	sha pao zhi ou	c=0 d=0 t=632
外界屏幕 	wai jie ping mu	c=0 d=0 t=632
外部截屏 	wai bu jie ping	c=0 d=0 t=632
太🌿 	tai cao	c=0 d=0 t=632
好嗨哟 	hao hai yo	c=0 d=0 t=632
姑姑嘎嘎 	gu gu ga ga	c=0 d=0 t=632
孤儿侧 	gu er ce	c=0 d=0 t=632
学会刚 	xue hui gang	c=0 d=0 t=632
尊需 	zun xu	c=0 d=0 t=632
就版本 	jiu ban ben	c=0 d=0 t=632
巍峨当 	wei e dang	c=0 d=0 t=632
床哭 	chuang ku	c=0 d=0 t=632
建立啊 	jian li a	c=0 d=0 t=632
律动 	lv dong	c=0 d=0 t=632
快捷键按 	kuai jie jian an	c=0 d=0 t=632
我到手 	wo dao shou	c=0 d=0 t=632
我昨晚 	wo zuo wan	c=0 d=0 t=632
我老家 	wo lao jia	c=0 d=0 t=632
我输入 	wo shu ru	c=0 d=0 t=632
我问问 	wo wen wen	c=0 d=0 t=632
我验证 	wo yan zheng	c=0 d=0 t=632
所以点 	suo yi dian	c=0 d=0 t=632
所属权利 	suo shu quan li	c=0 d=0 t=632
所每 	suo mei	c=0 d=0 t=632
扮演特 	ban yan te	c=0 d=0 t=632
投入表 	tou ru biao	c=0 d=0 t=632
